episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
3,ICICIBANK.NS,2.6174,10633.84,6.34,113,0.4425,0.1194,0.2663,False,False
4,HINDUNILVR.NS,-0.1669,9212.06,-7.88,121,0.5207,0.1212,0.2661,False,False
5,LT.NS,6.0355,12165.36,21.65,110,0.5909,0.1765,0.2658,False,False
1,LT.NS,3.495,11084.77,10.85,109,0.5138,0.1411,0.2655,False,False
2,ITC.NS,-1.9305,8792.49,-12.08,96,0.3854,0.2334,0.2653,False,False
3,ICICIBANK.NS,-345.9881,6638.03,-33.62,107,0.4299,0.3931,0.265,False,False
4,HINDUNILVR.NS,0.9651,9354.28,-6.46,106,0.4811,0.1558,0.2647,False,False
5,ADANIPORTS.NS,4.6548,11836.05,18.36,107,0.5514,0.1188,0.2645,False,False
1,TCS.NS,4.677,11422.46,14.22,105,0.5143,0.1212,0.2642,False,False
2,TCS.NS,-1.017,9207.83,-7.92,112,0.5179,0.1576,0.2639,False,False
1,ADANIPORTS.NS,6.1758,11320.54,13.21,104,0.5673,0.2414,0.2642,False,False
2,LT.NS,6.3601,12354.47,23.54,105,0.5619,0.1052,0.2639,False,False
3,ITC.NS,-0.0039,9327.12,-6.73,102,0.5098,0.2029,0.2637,False,False
4,ICICIBANK.NS,2.7566,10594.5,5.95,103,0.534,0.1591,0.2634,False,False
5,ITC.NS,-430.4678,8784.83,-12.15,112,0.4554,0.3324,0.2631,False,False
1,ADANIPORTS.NS,2.4987,11078.32,10.78,94,0.5532,0.2228,0.2829,False,False
1,INFY.NS,6.4611,11255.26,12.55,121,0.5537,0.1493,0.3026,False,False
1,ADANIPORTS.NS,1.16,10664.7,6.65,129,0.5581,0.2405,0.283,False,False
1,LT.NS,3.9907,11208.46,12.08,118,0.5339,0.1472,0.2827,False,False
2,ICICIBANK.NS,5.1812,10931.94,9.32,107,0.5701,0.2084,0.2824,False,False
3,HINDUNILVR.NS,0.9721,10408.64,4.09,113,0.5398,0.1204,0.2822,False,False
4,TCS.NS,3.8898,10301.39,3.01,111,0.5405,0.1312,0.2819,False,False
