episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
1,ADANIPORTS.NS,5.9027,10546.51,5.47,140,0.5,0.0465,0.3336,False,False
2,INFY.NS,4.2251,10355.84,3.56,145,0.5586,0.0386,0.3334,False,False
3,RELIANCE.NS,9.5611,11286.62,12.87,142,0.5493,0.0629,0.3333,False,False
4,TCS.NS,3.4738,10231.57,2.32,138,0.5435,0.0464,0.3331,False,False
5,INFY.NS,1.7232,10166.84,1.67,144,0.5694,0.0416,0.3329,False,False
1,INFY.NS,-3.821,9620.03,-3.8,134,0.4254,0.0421,0.3328,False,False
2,TCS.NS,-2.5435,9499.29,-5.01,143,0.4965,0.0648,0.3326,False,False
3,RELIANCE.NS,-0.6924,9639.11,-3.61,132,0.5,0.0629,0.3325,False,False
4,INFY.NS,2.0128,10115.1,1.15,138,0.5072,0.0298,0.3323,False,False
5,INFY.NS,4.5664,10393.23,3.93,134,0.5448,0.0795,0.3321,False,False
1,TCS.NS,7.6368,10472.33,4.72,143,0.5594,0.0412,0.332,False,False
2,RELIANCE.NS,-1.4135,9760.07,-2.4,139,0.5036,0.0272,0.3318,False,False
