episode,ticker,total_reward,final_balance,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
32,ICICIBANK.NS,-1.6331,10393.1,15,0.7333,0.0186,0.1407,False,False
33,ICICIBANK.NS,-2.6327,9283.36,9,0.4444,0.1042,0.1404,False,False
34,ICICIBANK.NS,-2.6766,9827.82,10,0.2,0.0341,0.1401,False,False
35,ICICIBANK.NS,-2.2735,9998.03,10,0.3,0.0519,0.1398,False,False
36,HINDUNILVR.NS,-2.7412,9679.47,12,0.3333,0.0438,0.1396,False,False
37,ICICIBANK.NS,-2.0958,10219.98,12,0.5,0.0183,0.1393,False,False
38,HINDUNILVR.NS,-2.0136,10062.05,12,0.5833,0.014,0.139,False,False
39,ICICIBANK.NS,-1.608,9767.39,20,0.5,0.0462,0.1387,False,False
40,ICICIBANK.NS,-3.2091,9035.85,13,0.2308,0.1058,0.1385,False,False
41,HINDUNILVR.NS,-2.287,10008.34,10,0.7,0.0142,0.1382,False,False
42,ICICIBANK.NS,-2.678,9674.05,14,0.3571,0.056,0.1379,False,False
43,ICICIBANK.NS,-2.4444,9974.5,6,0.5,0.0065,0.1376,False,False
44,HINDUNILVR.NS,-2.7962,9650.8,17,0.3529,0.0349,0.1374,False,False
45,ICICIBANK.NS,-2.4407,9929.34,14,0.5,0.017,0.1371,False,False
46,HINDUNILVR.NS,-2.2716,9990.1,10,0.6,0.0047,0.1368,False,False
47,ICICIBANK.NS,-2.72,9502.65,8,0.125,0.0497,0.1365,False,False
48,HINDUNILVR.NS,-2.4352,9905.52,4,0.5,0.0129,0.1363,False,False
49,ICICIBANK.NS,-1.8277,10389.44,5,0.8,0.0038,0.136,False,False
50,HINDUNILVR.NS,-2.3901,10020.64,1,1.0,0.0006,0.1357,False,False
51,ICICIBANK.NS,-2.0777,10030.79,4,0.5,0.0068,0.1354,False,False
52,ICICIBANK.NS,-2.4676,10022.51,1,1.0,0.0007,0.1352,False,False
53,HINDUNILVR.NS,-2.3937,9918.64,3,0.3333,0.0089,0.1349,False,False
54,ICICIBANK.NS,-2.2097,10092.19,7,0.7143,0.0101,0.1346,False,False
55,HINDUNILVR.NS,-2.4833,9943.02,1,0.0,0.0057,0.1344,False,False
56,HINDUNILVR.NS,-1.8667,10264.2,5,0.6,0.0047,0.1341,False,False
57,HINDUNILVR.NS,-2.5044,9904.8,4,0.25,0.015,0.1338,False,False
58,ICICIBANK.NS,-2.4288,10044.79,4,0.5,0.0095,0.1336,False,False
59,HINDUNILVR.NS,-2.119,10009.53,5,0.6,0.012,0.1333,False,False
60,ICICIBANK.NS,-1.9189,10221.31,8,0.625,0.0324,0.133,False,False
61,HINDUNILVR.NS,-2.4475,9945.37,2,0.0,0.0055,0.1328,False,False
62,HINDUNILVR.NS,-2.5344,9918.44,6,0.3333,0.0133,0.1325,False,False
63,ICICIBANK.NS,-2.9912,9656.34,6,0.0,0.0344,0.1322,False,False
64,ICICIBANK.NS,-2.3782,9919.19,4,0.5,0.0142,0.132,False,False
