episode,ticker,net_worth,growth_pct,benchmark_pct,alpha_pct,sharpe,sortino,win_rate,trades,head_grad_norm,ext_grad_norm,fus_grad_norm,is_new_best
10,UNG,9885.3,-1.15,-7.53,6.38,-3.868,-2.714,0.568,44,0.4724,0.0755,0.5,False
10,USO,9946.06,-0.54,6.48,-7.02,-4.221,-3.237,0.525,40,0.4724,0.0755,0.5,False
10,XBI,9891.34,-1.09,-7.55,6.46,-6.258,-5.024,0.39,41,0.4724,0.0755,0.5,False
10,XLE,9947.35,-0.53,8.93,-9.46,-6.715,-4.756,0.5,40,0.4724,0.0755,0.5,False
11,AAPL,10040.71,0.41,3.22,-2.81,2.75,2.828,0.488,41,0.3058,0.1291,0.45,False
11,ARKK,9994.0,-0.06,9.62,-9.68,-0.424,-0.424,0.487,39,0.3058,0.1291,0.45,False
11,GLD,10032.53,0.33,1.73,-1.41,5.747,8.546,0.487,39,0.3058,0.1291,0.45,False
11,IWM,9969.46,-0.31,6.89,-7.19,-3.319,-2.43,0.35,40,0.3058,0.1291,0.45,False
11,KRE,9985.26,-0.15,-3.48,3.33,-2.755,-2.192,0.55,40,0.3058,0.1291,0.45,False
11,NFLX,9883.51,-1.16,40.88,-42.05,-8.811,-5.527,0.3,40,0.3058,0.1291,0.45,False
11,NVDA,9997.71,-0.02,7.41,-7.43,-0.237,-0.323,0.512,41,0.3058,0.1291,0.45,False
11,PYPL,10150.24,1.5,-8.16,9.66,5.574,7.477,0.625,40,0.3058,0.1291,0.45,False
11,QQQ,9973.56,-0.26,-4.32,4.06,-2.03,-1.66,0.55,40,0.3058,0.1291,0.45,False
11,SPY,9980.75,-0.19,3.86,-4.06,-2.807,-2.995,0.462,39,0.3058,0.1291,0.45,False
11,UNG,10114.67,1.15,4.21,-3.06,2.82,2.348,0.488,41,0.3058,0.1291,0.45,False
11,USO,9978.32,-0.22,-6.74,6.53,-0.968,-1.179,0.463,41,0.3058,0.1291,0.45,False
11,XBI,10020.54,0.21,4.48,-4.27,1.176,1.685,0.425,40,0.3058,0.1291,0.45,False
11,XLE,9927.82,-0.72,6.98,-7.7,-6.182,-3.684,0.5,40,0.3058,0.1291,0.45,False
12,AAPL,9964.36,-0.36,-9.56,9.2,-11.132,-8.946,0.45,40,0.4796,0.0836,0.5,True
12,ARKK,9969.09,-0.31,-14.02,13.71,-2.107,-2.353,0.476,42,0.4796,0.0836,0.5,True
12,GLD,9989.57,-0.1,-1.44,1.34,-7.252,-5.891,0.3,40,0.4796,0.0836,0.5,True
12,IWM,9984.5,-0.15,-1.38,1.23,-1.67,-1.584,0.525,40,0.4796,0.0836,0.5,True
12,KRE,10110.31,1.1,-6.92,8.02,5.865,7.46,0.692,39,0.4796,0.0836,0.5,True
12,NFLX,9985.36,-0.15,9.08,-9.23,-2.722,-2.408,0.525,40,0.4796,0.0836,0.5,True
12,NVDA,10161.54,1.62,-1.12,2.73,6.76,7.314,0.575,40,0.4796,0.0836,0.5,True
12,PYPL,9957.09,-0.43,0.43,-0.86,-9.794,-7.179,0.561,41,0.4796,0.0836,0.5,True
12,QQQ,9990.84,-0.09,4.21,-4.3,-1.006,-0.819,0.488,41,0.4796,0.0836,0.5,True
12,SPY,10113.47,1.13,2.01,-0.87,13.8,19.212,0.641,39,0.4796,0.0836,0.5,True
12,UNG,9984.65,-0.15,14.14,-14.29,-0.732,-0.622,0.561,41,0.4796,0.0836,0.5,True
12,USO,10073.35,0.73,3.12,-2.38,4.885,5.295,0.525,40,0.4796,0.0836,0.5,True
12,XBI,9974.45,-0.26,-0.4,0.14,-9.767,-7.005,0.4,40,0.4796,0.0836,0.5,True
12,XLE,9950.79,-0.49,5.54,-6.04,-7.563,-4.485,0.415,41,0.4796,0.0836,0.5,True
13,AAPL,9970.8,-0.29,8.68,-8.97,-6.548,-5.238,0.439,41,0.3961,0.0209,0.5,False
13,ARKK,9991.04,-0.09,-11.21,11.12,-1.159,-1.014,0.415,41,0.3961,0.0209,0.5,False
13,GLD,9987.16,-0.13,1.04,-1.17,-5.584,-5.452,0.45,40,0.3961,0.0209,0.5,False
13,IWM,9982.21,-0.18,-7.62,7.44,-4.335,-4.115,0.512,41,0.3961,0.0209,0.5,False
13,KRE,9957.99,-0.42,9.93,-10.35,-11.105,-8.44,0.45,40,0.3961,0.0209,0.5,False
